Time	Participant	Block	Trial	TargetChange	ObjectsCount	Duration	Error	Practice
Tue Feb 16 23:04:56 CET 2016	0	0	0	VV1	9	-1277	0	true
Tue Feb 16 23:04:59 CET 2016	0	1	0	VV2	9	-1303	0	false
Tue Feb 16 23:05:16 CET 2016	0	1	1	VV1	9	-5081	0	false
Tue Feb 16 23:05:25 CET 2016	0	1	2	VV1VV2	9	-1002	0	false
Tue Feb 16 23:05:39 CET 2016	0	1	3	VV2	9	-1945	0	false
Tue Feb 16 23:05:42 CET 2016	0	1	4	VV1VV2	9	-609	0	false
Tue Feb 16 23:05:46 CET 2016	0	1	5	VV2	9	-1074	0	false
Tue Feb 16 23:05:51 CET 2016	0	1	6	VV1	9	-831	0	false
Tue Feb 16 23:05:56 CET 2016	0	1	7	VV2	9	-1330	0	false
Tue Feb 16 23:06:10 CET 2016	0	1	8	VV1VV2	9	-533	0	false
Tue Feb 16 23:06:15 CET 2016	0	1	9	VV1VV2	9	-839	0	false
Tue Feb 16 23:06:18 CET 2016	0	1	10	VV2	9	-571	0	false
Tue Feb 16 23:06:22 CET 2016	0	1	11	VV1VV2	9	-481	0	false
Tue Feb 16 23:06:26 CET 2016	0	1	12	VV1	9	-721	0	false
Tue Feb 16 23:06:31 CET 2016	0	1	13	VV1	9	-955	0	false
Tue Feb 16 23:06:34 CET 2016	0	1	14	VV1	9	-709	0	false
Tue Feb 16 23:06:38 CET 2016	0	0	0	VV2	24	-1504	0	true
Tue Feb 16 23:06:41 CET 2016	0	2	0	VV1	24	-1009	0	false
Tue Feb 16 23:06:45 CET 2016	0	2	1	VV1	24	-1332	0	false
Tue Feb 16 23:06:52 CET 2016	0	2	2	VV1	24	-1238	0	false
Tue Feb 16 23:06:58 CET 2016	0	2	3	VV2	24	-2499	0	false
Tue Feb 16 23:07:04 CET 2016	0	2	4	VV1	24	-512	0	false
