Time	Participant	Block	Trial	TargetChange	ObjectsCount	Duration	Error	Practice
Wed Feb 17 00:48:02 CET 2016	0	0	0	VV1	9	849	0	true
Wed Feb 17 00:48:05 CET 2016	0	1	0	VV2	9	1325	0	false
Wed Feb 17 00:48:09 CET 2016	0	1	1	VV1	9	1728	0	false
Wed Feb 17 00:48:21 CET 2016	0	1	2	VV1VV2	9	9865	0	false
Wed Feb 17 00:48:25 CET 2016	0	1	3	VV2	9	1900	0	false
Wed Feb 17 00:48:33 CET 2016	0	1	4	VV1VV2	9	5163	0	false
Wed Feb 17 00:48:36 CET 2016	0	1	5	VV2	9	925	0	false
Wed Feb 17 00:48:39 CET 2016	0	1	6	VV1	9	977	1	false
Wed Feb 17 00:48:42 CET 2016	0	1	6	VV1	9	1109	0	false
Wed Feb 17 00:48:44 CET 2016	0	1	7	VV2	9	1085	0	false
Wed Feb 17 00:49:18 CET 2016	0	1	8	VV1VV2	9	32299	0	false
Wed Feb 17 00:49:26 CET 2016	0	1	9	VV1VV2	9	6612	0	false
Wed Feb 17 00:49:29 CET 2016	0	1	10	VV2	9	998	0	false
Wed Feb 17 00:49:34 CET 2016	0	1	11	VV1VV2	9	3469	0	false
Wed Feb 17 00:49:40 CET 2016	0	1	12	VV1	9	1034	0	false
