Time	Participant	Block	Trial	TargetChange	ObjectsCount	Duration	Error	Practice
Tue Feb 16 22:42:40 CET 2016	0	0	0	VV1	9	-1632	0	true
Tue Feb 16 22:42:45 CET 2016	0	1	0	VV2	9	-1119	0	false
Tue Feb 16 22:42:59 CET 2016	0	1	1	VV1	9	-8377	0	false
Tue Feb 16 22:43:12 CET 2016	0	1	2	VV1VV2	9	-1984	0	false
Tue Feb 16 22:43:18 CET 2016	0	1	3	VV2	9	-1383	0	false
Tue Feb 16 22:43:22 CET 2016	0	1	4	VV1VV2	9	-525	0	false
Tue Feb 16 22:43:24 CET 2016	0	1	5	VV2	9	-766	0	false
Tue Feb 16 22:43:30 CET 2016	0	1	6	VV1	9	-599	0	false
Tue Feb 16 22:43:33 CET 2016	0	1	7	VV2	9	-372	0	false
Tue Feb 16 22:43:38 CET 2016	0	1	8	VV1VV2	9	-1179	0	false
