Time	Participant	Block	Trial	TargetChange	ObjectsCount	Duration	Error	Practice
Wed Feb 17 10:05:09 CET 2016	0	0	0	VV1	9	3720	0	true
Wed Feb 17 10:05:14 CET 2016	0	1	0	VV2	9	3425	0	false
Wed Feb 17 10:05:17 CET 2016	0	1	1	VV1	9	424	0	false
Wed Feb 17 10:05:20 CET 2016	0	1	2	VV1VV2	9	1139	0	false
Wed Feb 17 10:05:22 CET 2016	0	1	3	VV2	9	465	0	false
Wed Feb 17 10:05:25 CET 2016	0	1	4	VV1VV2	9	231	1	false
Wed Feb 17 10:05:27 CET 2016	0	1	4	VV1VV2	9	129	0	false
Wed Feb 17 10:05:32 CET 2016	0	1	5	VV2	9	572	0	false
Wed Feb 17 10:05:35 CET 2016	0	1	6	VV1	9	1277	0	false
Wed Feb 17 10:05:37 CET 2016	0	1	7	VV2	9	389	0	false
Wed Feb 17 10:05:40 CET 2016	0	1	8	VV1VV2	9	989	0	false
Wed Feb 17 10:05:42 CET 2016	0	1	9	VV1VV2	9	894	0	false
Wed Feb 17 10:05:45 CET 2016	0	1	10	VV2	9	327	0	false
Wed Feb 17 10:05:47 CET 2016	0	1	11	VV1VV2	9	255	1	false
