Time	Participant	Block	Trial	TargetChange	ObjectsCount	Duration	Error	Practice
Wed Feb 17 09:54:22 CET 2016	0	2	14	VV1VV2	24	6584	0	false
Wed Feb 17 09:54:32 CET 2016	0	3	0	VV1VV2	30	8389	0	false
Wed Feb 17 09:54:45 CET 2016	0	3	1	VV2	30	3710	0	false
Wed Feb 17 09:54:52 CET 2016	0	3	2	VV1VV2	30	2333	1	false
Wed Feb 17 09:54:58 CET 2016	0	3	2	VV1VV2	30	3047	0	false
Wed Feb 17 09:55:02 CET 2016	0	3	3	VV2	30	1169	0	false
Wed Feb 17 09:55:05 CET 2016	0	3	4	VV1	30	848	0	false
Wed Feb 17 09:55:08 CET 2016	0	3	5	VV2	30	745	0	false
Wed Feb 17 09:55:12 CET 2016	0	3	6	VV1VV2	30	2131	0	false
Wed Feb 17 09:55:22 CET 2016	0	3	7	VV1VV2	30	8229	0	false
Wed Feb 17 09:55:26 CET 2016	0	3	8	VV2	30	1030	0	false
Wed Feb 17 09:55:30 CET 2016	0	3	9	VV1VV2	30	1755	0	false
Wed Feb 17 09:56:06 CET 2016	0	3	10	VV1	30	905	1	false
