Time	Participant	Block	Trial	TargetChange	ObjectsCount	Duration	Error	Practice
Tue Feb 16 22:31:36 CET 2016	0	0	0	VV1VV2	9	-12792	0	true
Tue Feb 16 22:31:46 CET 2016	0	1	0	VV1VV2	30	-4655	0	false
Tue Feb 16 22:32:00 CET 2016	0	1	1	VV1	30	-1898	0	false
Tue Feb 16 22:32:08 CET 2016	0	1	2	VV2	30	-3751	0	false
Tue Feb 16 22:32:12 CET 2016	0	1	3	VV2	30	-1049	0	false
Tue Feb 16 22:32:14 CET 2016	0	1	4	VV2	30	-304	0	false
Tue Feb 16 22:32:15 CET 2016	0	1	5	VV1VV2	30	-308	0	false
Tue Feb 16 22:32:16 CET 2016	0	1	6	VV1	30	-263	0	false
Tue Feb 16 22:32:17 CET 2016	0	1	7	VV1VV2	30	-201	0	false
Tue Feb 16 22:32:18 CET 2016	0	1	8	VV1	30	-170	0	false
Tue Feb 16 22:32:20 CET 2016	0	1	9	VV2	30	-117	0	false
Tue Feb 16 22:32:21 CET 2016	0	1	10	VV2	30	-354	0	false
Tue Feb 16 22:32:22 CET 2016	0	1	11	VV1	30	-286	0	false
Tue Feb 16 22:32:23 CET 2016	0	1	12	VV1	30	-319	0	false
Tue Feb 16 22:32:24 CET 2016	0	1	13	VV1VV2	30	-334	0	false
Tue Feb 16 22:32:25 CET 2016	0	1	14	VV1VV2	30	-303	0	false
Tue Feb 16 22:32:26 CET 2016	0	0	0	VV2	21	-223	0	true
Tue Feb 16 22:32:39 CET 2016	0	2	0	VV2	21	-362	0	false
