Time	Participant	Block	Trial	TargetChange	ObjectsCount	Duration	Error	Practice
Wed Feb 17 01:31:50 CET 2016	0	0	0	VV1	9	7597	0	true
Wed Feb 17 01:32:00 CET 2016	0	1	0	VV2	9	6150	0	false
Wed Feb 17 01:32:03 CET 2016	0	1	1	VV1	9	251	1	false
Wed Feb 17 01:32:05 CET 2016	0	1	1	VV1	9	675	1	false
Wed Feb 17 01:32:06 CET 2016	0	1	1	VV1	9	351	1	false
Wed Feb 17 01:32:09 CET 2016	0	1	1	VV1	9	213	1	false
Wed Feb 17 01:32:12 CET 2016	0	1	1	VV1	9	1696	0	false
Wed Feb 17 01:32:16 CET 2016	0	1	2	VV1VV2	9	313	0	false
Wed Feb 17 01:32:19 CET 2016	0	1	3	VV2	9	893	0	false
